story_name,story_section,question,answer1,answer2,local_or_sum,attribute,ex_or_im,ex_or_im2
three-dogs,"once upon a time there was a king who went forth into the world and fetched back a beautiful queen . and after they had been married a while god gave them a little daughter . then there was great rejoicing in the city and throughout the country , for the people wished their king all that was good , since he was kind and just . while the child lay in its cradle , a strange - looking old woman entered the room , and no one knew who she was nor whence she came . the old woman spoke a verse over the child , and said that she must not be allowed out under the open sky until she were full fifteen years of age , since otherwise the mountain troll would fetch her . when the king heard this he took her words to heart , and posted guards to watch over the little princess so that she would not get out under the open sky .",why was there great rejoicing in the city and throughout the country ?,the people wished their king all that was good .,,local,causal relationship,explicit,
three-dogs,"once upon a time there was a king who went forth into the world and fetched back a beautiful queen . and after they had been married a while god gave them a little daughter . then there was great rejoicing in the city and throughout the country , for the people wished their king all that was good , since he was kind and just . while the child lay in its cradle , a strange - looking old woman entered the room , and no one knew who she was nor whence she came . the old woman spoke a verse over the child , and said that she must not be allowed out under the open sky until she were full fifteen years of age , since otherwise the mountain troll would fetch her . when the king heard this he took her words to heart , and posted guards to watch over the little princess so that she would not get out under the open sky .",what type of ruler was the king ?,kind and just .,,local,character,explicit,
three-dogs,"once upon a time there was a king who went forth into the world and fetched back a beautiful queen . and after they had been married a while god gave them a little daughter . then there was great rejoicing in the city and throughout the country , for the people wished their king all that was good , since he was kind and just . while the child lay in its cradle , a strange - looking old woman entered the room , and no one knew who she was nor whence she came . the old woman spoke a verse over the child , and said that she must not be allowed out under the open sky until she were full fifteen years of age , since otherwise the mountain troll would fetch her . when the king heard this he took her words to heart , and posted guards to watch over the little princess so that she would not get out under the open sky .",who entered the room while the child lay in its cradle ?,a strange - looking old woman .,,local,character,explicit,
three-dogs,"once upon a time there was a king who went forth into the world and fetched back a beautiful queen . and after they had been married a while god gave them a little daughter . then there was great rejoicing in the city and throughout the country , for the people wished their king all that was good , since he was kind and just . while the child lay in its cradle , a strange - looking old woman entered the room , and no one knew who she was nor whence she came . the old woman spoke a verse over the child , and said that she must not be allowed out under the open sky until she were full fifteen years of age , since otherwise the mountain troll would fetch her . when the king heard this he took her words to heart , and posted guards to watch over the little princess so that she would not get out under the open sky .",what did the old woman say the child must not be allowed the do ?,be allowed out under the open sky until she were full fifteen years of age .,,local,action,explicit,
three-dogs,"once upon a time there was a king who went forth into the world and fetched back a beautiful queen . and after they had been married a while god gave them a little daughter . then there was great rejoicing in the city and throughout the country , for the people wished their king all that was good , since he was kind and just . while the child lay in its cradle , a strange - looking old woman entered the room , and no one knew who she was nor whence she came . the old woman spoke a verse over the child , and said that she must not be allowed out under the open sky until she were full fifteen years of age , since otherwise the mountain troll would fetch her . when the king heard this he took her words to heart , and posted guards to watch over the little princess so that she would not get out under the open sky .",what would happen if the child went under the open sky before she was full fifteen years of age ?,the mountain troll would fetch her .,,local,action,explicit,
three-dogs,"once upon a time there was a king who went forth into the world and fetched back a beautiful queen . and after they had been married a while god gave them a little daughter . then there was great rejoicing in the city and throughout the country , for the people wished their king all that was good , since he was kind and just . while the child lay in its cradle , a strange - looking old woman entered the room , and no one knew who she was nor whence she came . the old woman spoke a verse over the child , and said that she must not be allowed out under the open sky until she were full fifteen years of age , since otherwise the mountain troll would fetch her . when the king heard this he took her words to heart , and posted guards to watch over the little princess so that she would not get out under the open sky .",what did the king do because of the old woman's words ?,posted guards to watch over the little princess so that she would not get out under the open sky .,,local,action,explicit,
three-dogs,"some time afterward god gave the royal pair another little daughter , and again the whole kingdom rejoiced . but the wise old woman once more put in an appearance , and warned the king not to let the princess out under the open sky until she were full fifteen years of age . and then , after a time , god gave the royal pair a third daughter . this time , too , the old woman appeared , and repeated what she had already twice said . then the king was much grieved ; for he loved his children above everything in the world . therefore he gave strict orders that the three princesses were always to be kept beneath the roof of the castle , and that none were to dare transgress against this command .",why did the king grieve ?,he loved his children above everything else in the world .,,local,causal relationship,explicit,
three-dogs,"some time afterward god gave the royal pair another little daughter , and again the whole kingdom rejoiced . but the wise old woman once more put in an appearance , and warned the king not to let the princess out under the open sky until she were full fifteen years of age . and then , after a time , god gave the royal pair a third daughter . this time , too , the old woman appeared , and repeated what she had already twice said . then the king was much grieved ; for he loved his children above everything in the world . therefore he gave strict orders that the three princesses were always to be kept beneath the roof of the castle , and that none were to dare transgress against this command .",how many princesses did the king and queen have ?,three times .,,local,character,explicit,
three-dogs,"some time afterward god gave the royal pair another little daughter , and again the whole kingdom rejoiced . but the wise old woman once more put in an appearance , and warned the king not to let the princess out under the open sky until she were full fifteen years of age . and then , after a time , god gave the royal pair a third daughter . this time , too , the old woman appeared , and repeated what she had already twice said . then the king was much grieved ; for he loved his children above everything in the world . therefore he gave strict orders that the three princesses were always to be kept beneath the roof of the castle , and that none were to dare transgress against this command .",where were the princesses to be kept ?,beneath the roof of the castle .,,local,setting,explicit,
three-dogs,"now a long time passed , and the king 's daughters grew up and became the most beautiful maidens of whom one has ever heard tell . then war broke out and the king , their father , had to leave them . one day , while he was away at war , the three princesses were sitting in the window and looking out , watching the sun shine on the little flowers in the garden . and they felt a great desire to play with the lovely flowers , and begged their guards to let them go into the garden for a little while . but this their guards would not allow , for they feared the king 's anger . yet the king 's daughters pleaded so very sweetly that they could not deny their pleas and they let them have their way . but the princesses did not have long to walk about , for no sooner were they beneath the open sky , than a cloud came suddenly down , and bore them off , and all attempts to regain possession of them were fruitless ; though search was made in every direction .",what did the three princesses do while sitting in the window ?,looked out and watched the sun shine on the little flowers in the garden .,,local,action,explicit,
three-dogs,"now a long time passed , and the king 's daughters grew up and became the most beautiful maidens of whom one has ever heard tell . then war broke out and the king , their father , had to leave them . one day , while he was away at war , the three princesses were sitting in the window and looking out , watching the sun shine on the little flowers in the garden . and they felt a great desire to play with the lovely flowers , and begged their guards to let them go into the garden for a little while . but this their guards would not allow , for they feared the king 's anger . yet the king 's daughters pleaded so very sweetly that they could not deny their pleas and they let them have their way . but the princesses did not have long to walk about , for no sooner were they beneath the open sky , than a cloud came suddenly down , and bore them off , and all attempts to regain possession of them were fruitless ; though search was made in every direction .",why did the guards not allow the princesses to go outside ?,they feared the king 's anger .,,local,causal relationship,explicit,
three-dogs,"now a long time passed , and the king 's daughters grew up and became the most beautiful maidens of whom one has ever heard tell . then war broke out and the king , their father , had to leave them . one day , while he was away at war , the three princesses were sitting in the window and looking out , watching the sun shine on the little flowers in the garden . and they felt a great desire to play with the lovely flowers , and begged their guards to let them go into the garden for a little while . but this their guards would not allow , for they feared the king 's anger . yet the king 's daughters pleaded so very sweetly that they could not deny their pleas and they let them have their way . but the princesses did not have long to walk about , for no sooner were they beneath the open sky , than a cloud came suddenly down , and bore them off , and all attempts to regain possession of them were fruitless ; though search was made in every direction .",why could the guards not deny the king's daughters pleas ?,the king 's daughters pleaded so very sweetly .,,local,causal relationship,explicit,
three-dogs,"now a long time passed , and the king 's daughters grew up and became the most beautiful maidens of whom one has ever heard tell . then war broke out and the king , their father , had to leave them . one day , while he was away at war , the three princesses were sitting in the window and looking out , watching the sun shine on the little flowers in the garden . and they felt a great desire to play with the lovely flowers , and begged their guards to let them go into the garden for a little while . but this their guards would not allow , for they feared the king 's anger . yet the king 's daughters pleaded so very sweetly that they could not deny their pleas and they let them have their way . but the princesses did not have long to walk about , for no sooner were they beneath the open sky , than a cloud came suddenly down , and bore them off , and all attempts to regain possession of them were fruitless ; though search was made in every direction .",what happened because the three daughters went outside ?,"a cloud came suddenly down , and bore them off , and all attempts to regain possession of them were fruitless .",,local,outcome resolution,explicit,
three-dogs,"now a long time passed , and the king 's daughters grew up and became the most beautiful maidens of whom one has ever heard tell . then war broke out and the king , their father , had to leave them . one day , while he was away at war , the three princesses were sitting in the window and looking out , watching the sun shine on the little flowers in the garden . and they felt a great desire to play with the lovely flowers , and begged their guards to let them go into the garden for a little while . but this their guards would not allow , for they feared the king 's anger . yet the king 's daughters pleaded so very sweetly that they could not deny their pleas and they let them have their way . but the princesses did not have long to walk about , for no sooner were they beneath the open sky , than a cloud came suddenly down , and bore them off , and all attempts to regain possession of them were fruitless ; though search was made in every direction .",what did the guards do when the princesses disappeared ?,search was made in every direction .,,local,action,explicit,
three-dogs,"then the whole kingdom mourned and grieved , and one may imagine that the king was anything but happy when he returned home and learned all that had happened . yet what is done can not be undone , and in the end they had to resign themselves to it . and since the king knew of no other way to help himself , he had proclaimed throughout the kingdom that whoever would deliver his three daughters out of the power of the mountain troll should have one of them for his bride , and with her half of the kingdom . when this became known in foreign lands , many youths set forth with horses and followers to seek the princesses . at the king 's court were two princes who also went forth to see whether fortune would be kind to them . they armed themselves in the best possible way with coats of mail and costly weapons , and bragged and boasted that they would not return without having done what they set out to do .",how will the king feel when he learns what happened ?,angry .,,local,feeling,implicit,
three-dogs,"then the whole kingdom mourned and grieved , and one may imagine that the king was anything but happy when he returned home and learned all that had happened . yet what is done can not be undone , and in the end they had to resign themselves to it . and since the king knew of no other way to help himself , he had proclaimed throughout the kingdom that whoever would deliver his three daughters out of the power of the mountain troll should have one of them for his bride , and with her half of the kingdom . when this became known in foreign lands , many youths set forth with horses and followers to seek the princesses . at the king 's court were two princes who also went forth to see whether fortune would be kind to them . they armed themselves in the best possible way with coats of mail and costly weapons , and bragged and boasted that they would not return without having done what they set out to do .",how did the king plan to get his daughters back ?,"whoever would deliver his three daughters out of the power of the mountain troll should have one of them for his bride , and with her half of the kingdom .",,local,action,explicit,
three-dogs,"and now we will let the king 's sons ride out over the world on their quest , while we turn to other people . far , far out in the wild wood there lived a poor widow , who had an only son who drove his mother 's pigs to pasture every day . and as he crossed the fields , he whittled himself a flute , and amused himself playing it . and he played so sweetly that he warmed the cockles of the hearts of all those who heard him .",where did a poor widow live ?,"far , far out in the wild wood .",,local,setting,explicit,
three-dogs,"and now we will let the king 's sons ride out over the world on their quest , while we turn to other people . far , far out in the wild wood there lived a poor widow , who had an only son who drove his mother 's pigs to pasture every day . and as he crossed the fields , he whittled himself a flute , and amused himself playing it . and he played so sweetly that he warmed the cockles of the hearts of all those who heard him .",what did the boy do while he crossed the fields ?,"whittled himself a flute , and amused himself playing it .",,local,action,explicit,
