text_a	text_b	labels
	My names Ms Villarin I dont know if Ms Ferrant told you about me but I planned with Ms Ferrant last Friday  and I also have a seventh eighth grade math class	0.0
	So today her and I will be teaching a lesson together again my names Ms Villarin and thatll be on the board	0.0
	So you can treat me the way you treat her if you ask questions and you have something that you dont understand you can ask me	0.0
	Okay	0.0
	So today were going to be doing a really cool lesson	0.0
	We have a lot of people in the classroom I dont want you to be nervous at all	0.0
	If people stand by you its just  cause they want to know what youre thinking	0.0
	Okay	0.0
	All theyre doing is listening to what youre thinking and looking at what youre recording	0.0
	Okay	0.0
	So make sure you speak loud enough so that they can hear you and then just pretend like the cameras arent here	0.0
	Okay	0.0
	So what were going to be doing today is  about two weeks ago I think you guys did a problem called  Pizza Crusts  Ms Ferrant gave you a problem she had you do it by yourself	0.0
	Do you all remember it	1.0
	Yeah	1.0
	What was it about	5.0
	Can anyone tell me what it was about	5.0
	And I have a seating chart here so if I dont know your name I apologize Ill be looking at this	0.0
	Is it Cassie	1.0
We were looking at the circumference and area of the circle and the difference	Okay so the circumference of areas I mean the area and perimeters of rectangles and then you had circumference and you were looking at pizzas	1.0
	Okay	0.0
	Do you guys remember that problem	1.0
	What else  does anybody else remember what else it was about	5.0
	No	1.0
	Okay	0.0
	So anyway were gonna were gonna talk about that today	0.0
	Okay	0.0
	And this is a lesson that Ms Ferrant and I planned And we want to see what you what you know about it	0.0
	Okay	0.0
	So our first activity that were gonna do shes gonna pass out paper	0.0
	And we just want you to think about it	0.0
	You dont have to write anything down	0.0
	And well be doing a lot of thinking privately by ourselves and then sharing with a partner and then sharing out loud	0.0
	Okay	0.0
	I know thats a common thing you guys do in your class	0.0
	But the first thing that we want you to do is Robby is confused	0.0
	Hes a student and hes confused about area and perimeter	0.0
	He thinks theyre the same	0.0
	He thinks theres no difference between the two	0.0
	And we want you to help him	0.0
	Okay	0.0
	So right now think what you would say to him if you wanted to tell him the difference between area and perimeter	0.0
	Think privately to yourself	0.0
	Okay and when youre ready share with your partner what you would tell Robby	5.0
	Okay did everyone have a chance to talk about it	1.0
	Yeah	1.0
	Okay	0.0
	Who would like to explain what you would say to Robby if you wanted to tell him the difference between area and perimeter	5.0
	What would you say okay	5.0
	Um is it Connie	1.0
	Angelique	1.0
Yeah	Okay	0.0
We talked about the area is length times width and perimeter is length plus width plus length plus width	Ah	0.0
	Okay	0.0
	Youre telling me how to get it so youre saying well what shape are you talking about	5.0
I mean  I mean the rectangle	The rectangle	1.0
	So youre saying for area itd be length times width and then for perimeter itd be lengths plus widths	0.0
	Okay	0.0
	Is there anybody else whod like to add to what Angelique said	2.0
	How  bout  is it Alex	1.0
	Alexander	1.0
Well the area is whats inside and the perimeter is whats outside	Okay so the area is whats inside and the perimeter is whats outside	1.0
	Okay	0.0
	Alex do you want to come up and color in one of those for me	1.0
	I want us to color in on these shapes  red whats area and green what the perimeter is	0.0
	So choose the one that you want to do	0.0
	you can choose whichever shape you want and you can shade it in	0.0
	Now lets move this	0.0
	Oops	0.0
	Okay	0.0
	Now	0.0
	Can you guys see what Alex is doing	1.0
Yeah	Yeah	0.0
	Okay	0.0
	Lets try to fill in all of it so its all along the sides	0.0
	Okay	0.0
